[2026-02-10T20:18:36.677+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:18:36.703+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:14:00+00:00 [queued]>
[2026-02-10T20:18:36.711+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:14:00+00:00 [queued]>
[2026-02-10T20:18:36.711+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T20:18:36.722+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-10 20:14:00+00:00
[2026-02-10T20:18:36.731+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'load_snowflake', 'scheduled__2026-02-10T20:14:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmplb89tfx1']
[2026-02-10T20:18:36.734+0000] {standard_task_runner.py:91} INFO - Job 16: Subtask load_snowflake
[2026-02-10T20:18:36.735+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=15053) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T20:18:36.736+0000] {standard_task_runner.py:64} INFO - Started process 15073 to run task
[2026-02-10T20:18:36.826+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:14:00+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T20:18:36.916+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T20:14:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-10T20:14:00+00:00'
[2026-02-10T20:18:36.918+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T20:18:36.942+0000] {connection.py:611} INFO - Snowflake Connector for Python Version: 4.2.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-02-10T20:18:36.946+0000] {connection.py:1695} INFO - Connecting to GLOBAL Snowflake domain
[2026-02-10T20:18:38.905+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600462546.parquet -> @customers stage
[2026-02-10T20:18:39.138+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600602074.parquet -> @customers stage
[2026-02-10T20:18:39.352+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600771751.parquet -> @customers stage
[2026-02-10T20:18:39.599+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600908509.parquet -> @customers stage
[2026-02-10T20:18:39.827+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143601055323.parquet -> @customers stage
[2026-02-10T20:18:40.058+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143601187796.parquet -> @customers stage
[2026-02-10T20:18:40.213+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143601346724.parquet -> @customers stage
[2026-02-10T20:18:40.410+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143604973951.parquet -> @customers stage
[2026-02-10T20:18:40.602+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605095369.parquet -> @customers stage
[2026-02-10T20:18:40.756+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605228367.parquet -> @customers stage
[2026-02-10T20:18:40.936+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605340396.parquet -> @customers stage
[2026-02-10T20:18:41.089+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605446187.parquet -> @customers stage
[2026-02-10T20:18:41.239+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605560574.parquet -> @customers stage
[2026-02-10T20:18:41.450+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143605712366.parquet -> @customers stage
[2026-02-10T20:18:41.656+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143609435009.parquet -> @customers stage
[2026-02-10T20:18:41.812+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143609572388.parquet -> @customers stage
[2026-02-10T20:18:41.984+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143609725024.parquet -> @customers stage
[2026-02-10T20:18:42.185+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143609859316.parquet -> @customers stage
[2026-02-10T20:18:42.404+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143610019745.parquet -> @customers stage
[2026-02-10T20:18:42.574+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143610165772.parquet -> @customers stage
[2026-02-10T20:18:42.730+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143610301645.parquet -> @customers stage
[2026-02-10T20:18:42.956+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143613870880.parquet -> @customers stage
[2026-02-10T20:18:43.157+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143613978301.parquet -> @customers stage
[2026-02-10T20:18:43.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143614106187.parquet -> @customers stage
[2026-02-10T20:18:43.541+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143614241552.parquet -> @customers stage
[2026-02-10T20:18:43.760+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143614342313.parquet -> @customers stage
[2026-02-10T20:18:43.935+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143614471506.parquet -> @customers stage
[2026-02-10T20:18:44.105+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143614580415.parquet -> @customers stage
[2026-02-10T20:18:44.261+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143619249487.parquet -> @customers stage
[2026-02-10T20:18:44.429+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143619426867.parquet -> @customers stage
[2026-02-10T20:18:44.610+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143619575933.parquet -> @customers stage
[2026-02-10T20:18:44.795+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143619769194.parquet -> @customers stage
[2026-02-10T20:18:45.324+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143619924079.parquet -> @customers stage
[2026-02-10T20:18:45.497+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143620118543.parquet -> @customers stage
[2026-02-10T20:18:45.692+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143620264809.parquet -> @customers stage
[2026-02-10T20:18:45.850+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143625430641.parquet -> @customers stage
[2026-02-10T20:18:46.078+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143625596207.parquet -> @customers stage
[2026-02-10T20:18:46.287+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143625745784.parquet -> @customers stage
[2026-02-10T20:18:46.460+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143625880427.parquet -> @customers stage
[2026-02-10T20:18:46.622+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143626036712.parquet -> @customers stage
[2026-02-10T20:18:46.778+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143626253322.parquet -> @customers stage
[2026-02-10T20:18:46.946+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143626379633.parquet -> @customers stage
[2026-02-10T20:18:47.405+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143631165169.parquet -> @customers stage
[2026-02-10T20:18:47.597+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143631297551.parquet -> @customers stage
[2026-02-10T20:18:47.817+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143631532985.parquet -> @customers stage
[2026-02-10T20:18:47.978+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143631668502.parquet -> @customers stage
[2026-02-10T20:18:48.157+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143631799488.parquet -> @customers stage
