[2026-02-10T20:53:08.597+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:53:08.635+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:48:00+00:00 [queued]>
[2026-02-10T20:53:08.644+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:48:00+00:00 [queued]>
[2026-02-10T20:53:08.645+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T20:53:08.657+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-10 20:48:00+00:00
[2026-02-10T20:53:08.669+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=41977) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T20:53:08.667+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'load_snowflake', 'scheduled__2026-02-10T20:48:00+00:00', '--job-id', '40', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpth9g6qol']
[2026-02-10T20:53:08.670+0000] {standard_task_runner.py:64} INFO - Started process 41997 to run task
[2026-02-10T20:53:08.671+0000] {standard_task_runner.py:91} INFO - Job 40: Subtask load_snowflake
[2026-02-10T20:53:08.752+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-02-10T20:48:00+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T20:53:08.844+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T20:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-10T20:48:00+00:00'
[2026-02-10T20:53:08.846+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T20:53:08.872+0000] {connection.py:611} INFO - Snowflake Connector for Python Version: 4.2.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-02-10T20:53:08.874+0000] {connection.py:1695} INFO - Connecting to GLOBAL Snowflake domain
[2026-02-10T20:53:10.940+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600462546.parquet -> @customers stage
[2026-02-10T20:53:11.226+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600602074.parquet -> @customers stage
[2026-02-10T20:53:11.444+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_143600771751.parquet -> @customers stage
