[2026-02-10T20:32:30.305+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:32:32.823+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601187796.parquet -> /tmp/minio_downloads/customers_143601187796.parquet
[2026-02-10T20:32:32.861+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601346724.parquet -> /tmp/minio_downloads/customers_143601346724.parquet
[2026-02-10T20:32:32.908+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143604973951.parquet -> /tmp/minio_downloads/customers_143604973951.parquet
[2026-02-10T20:32:32.948+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605095369.parquet -> /tmp/minio_downloads/customers_143605095369.parquet
[2026-02-10T20:32:32.982+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605228367.parquet -> /tmp/minio_downloads/customers_143605228367.parquet
[2026-02-10T20:32:33.059+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605340396.parquet -> /tmp/minio_downloads/customers_143605340396.parquet
[2026-02-10T20:32:33.163+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605446187.parquet -> /tmp/minio_downloads/customers_143605446187.parquet
[2026-02-10T20:32:33.277+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605560574.parquet -> /tmp/minio_downloads/customers_143605560574.parquet
[2026-02-10T20:32:33.369+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605712366.parquet -> /tmp/minio_downloads/customers_143605712366.parquet
[2026-02-10T20:32:33.414+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609435009.parquet -> /tmp/minio_downloads/customers_143609435009.parquet
[2026-02-10T20:32:33.448+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609572388.parquet -> /tmp/minio_downloads/customers_143609572388.parquet
[2026-02-10T20:32:33.479+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609725024.parquet -> /tmp/minio_downloads/customers_143609725024.parquet
[2026-02-10T20:32:33.509+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609859316.parquet -> /tmp/minio_downloads/customers_143609859316.parquet
[2026-02-10T20:32:33.535+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610019745.parquet -> /tmp/minio_downloads/customers_143610019745.parquet
[2026-02-10T20:32:33.559+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610165772.parquet -> /tmp/minio_downloads/customers_143610165772.parquet
[2026-02-10T20:32:33.584+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610301645.parquet -> /tmp/minio_downloads/customers_143610301645.parquet
[2026-02-10T20:32:33.618+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143613870880.parquet -> /tmp/minio_downloads/customers_143613870880.parquet
[2026-02-10T20:32:33.654+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143613978301.parquet -> /tmp/minio_downloads/customers_143613978301.parquet
[2026-02-10T20:32:33.685+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614106187.parquet -> /tmp/minio_downloads/customers_143614106187.parquet
[2026-02-10T20:32:33.717+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614241552.parquet -> /tmp/minio_downloads/customers_143614241552.parquet
[2026-02-10T20:32:33.744+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614342313.parquet -> /tmp/minio_downloads/customers_143614342313.parquet
[2026-02-10T20:32:33.775+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614471506.parquet -> /tmp/minio_downloads/customers_143614471506.parquet
[2026-02-10T20:32:33.805+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614580415.parquet -> /tmp/minio_downloads/customers_143614580415.parquet
[2026-02-10T20:32:33.830+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619249487.parquet -> /tmp/minio_downloads/customers_143619249487.parquet
[2026-02-10T20:32:33.863+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619426867.parquet -> /tmp/minio_downloads/customers_143619426867.parquet
[2026-02-10T20:32:33.896+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619575933.parquet -> /tmp/minio_downloads/customers_143619575933.parquet
[2026-02-10T20:32:33.937+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619769194.parquet -> /tmp/minio_downloads/customers_143619769194.parquet
[2026-02-10T20:32:33.980+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619924079.parquet -> /tmp/minio_downloads/customers_143619924079.parquet
[2026-02-10T20:32:34.031+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143620118543.parquet -> /tmp/minio_downloads/customers_143620118543.parquet
[2026-02-10T20:32:34.073+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143620264809.parquet -> /tmp/minio_downloads/customers_143620264809.parquet
[2026-02-10T20:32:34.111+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625430641.parquet -> /tmp/minio_downloads/customers_143625430641.parquet
[2026-02-10T20:32:34.149+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625596207.parquet -> /tmp/minio_downloads/customers_143625596207.parquet
[2026-02-10T20:32:34.185+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625745784.parquet -> /tmp/minio_downloads/customers_143625745784.parquet
[2026-02-10T20:32:34.224+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625880427.parquet -> /tmp/minio_downloads/customers_143625880427.parquet
[2026-02-10T20:32:34.269+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626036712.parquet -> /tmp/minio_downloads/customers_143626036712.parquet
[2026-02-10T20:32:34.308+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626253322.parquet -> /tmp/minio_downloads/customers_143626253322.parquet
[2026-02-10T20:32:34.342+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626379633.parquet -> /tmp/minio_downloads/customers_143626379633.parquet
[2026-02-10T20:32:34.377+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631165169.parquet -> /tmp/minio_downloads/customers_143631165169.parquet
[2026-02-10T20:32:34.414+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631297551.parquet -> /tmp/minio_downloads/customers_143631297551.parquet
[2026-02-10T20:32:34.443+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631532985.parquet -> /tmp/minio_downloads/customers_143631532985.parquet
[2026-02-10T20:32:34.466+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631668502.parquet -> /tmp/minio_downloads/customers_143631668502.parquet
[2026-02-10T20:32:34.506+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631799488.parquet -> /tmp/minio_downloads/customers_143631799488.parquet
[2026-02-10T20:32:34.531+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631947409.parquet -> /tmp/minio_downloads/customers_143631947409.parquet
[2026-02-10T20:32:34.555+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143632106420.parquet -> /tmp/minio_downloads/customers_143632106420.parquet
[2026-02-10T20:32:34.579+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143636853891.parquet -> /tmp/minio_downloads/customers_143636853891.parquet
[2026-02-10T20:32:34.607+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143636974156.parquet -> /tmp/minio_downloads/customers_143636974156.parquet
[2026-02-10T20:32:34.629+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637178167.parquet -> /tmp/minio_downloads/customers_143637178167.parquet
[2026-02-10T20:32:34.653+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637283781.parquet -> /tmp/minio_downloads/customers_143637283781.parquet
[2026-02-10T20:32:34.677+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637406984.parquet -> /tmp/minio_downloads/customers_143637406984.parquet
[2026-02-10T20:32:34.705+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637545089.parquet -> /tmp/minio_downloads/customers_143637545089.parquet
[2026-02-10T20:32:34.730+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637731592.parquet -> /tmp/minio_downloads/customers_143637731592.parquet
[2026-02-10T20:32:34.758+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642571727.parquet -> /tmp/minio_downloads/customers_143642571727.parquet
[2026-02-10T20:32:34.787+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642713671.parquet -> /tmp/minio_downloads/customers_143642713671.parquet
[2026-02-10T20:32:34.813+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642854201.parquet -> /tmp/minio_downloads/customers_143642854201.parquet
[2026-02-10T20:32:34.841+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642966814.parquet -> /tmp/minio_downloads/customers_143642966814.parquet
[2026-02-10T20:32:34.871+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643162627.parquet -> /tmp/minio_downloads/customers_143643162627.parquet
[2026-02-10T20:32:34.913+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643313919.parquet -> /tmp/minio_downloads/customers_143643313919.parquet
[2026-02-10T20:32:34.947+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643497105.parquet -> /tmp/minio_downloads/customers_143643497105.parquet
[2026-02-10T20:32:34.977+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143648814293.parquet -> /tmp/minio_downloads/customers_143648814293.parquet
[2026-02-10T20:32:35.006+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143648956100.parquet -> /tmp/minio_downloads/customers_143648956100.parquet
[2026-02-10T20:32:35.039+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649087925.parquet -> /tmp/minio_downloads/customers_143649087925.parquet
[2026-02-10T20:32:35.064+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649217435.parquet -> /tmp/minio_downloads/customers_143649217435.parquet
[2026-02-10T20:32:35.089+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649349194.parquet -> /tmp/minio_downloads/customers_143649349194.parquet
[2026-02-10T20:32:35.113+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649479108.parquet -> /tmp/minio_downloads/customers_143649479108.parquet
[2026-02-10T20:32:35.147+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649663453.parquet -> /tmp/minio_downloads/customers_143649663453.parquet
[2026-02-10T20:32:35.176+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143650108605.parquet -> /tmp/minio_downloads/customers_143650108605.parquet
[2026-02-10T20:32:35.205+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143654722326.parquet -> /tmp/minio_downloads/customers_143654722326.parquet
[2026-02-10T20:32:35.235+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143654844487.parquet -> /tmp/minio_downloads/customers_143654844487.parquet
[2026-02-10T20:32:35.261+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143654958161.parquet -> /tmp/minio_downloads/customers_143654958161.parquet
[2026-02-10T20:32:35.290+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143655063111.parquet -> /tmp/minio_downloads/customers_143655063111.parquet
[2026-02-10T20:32:35.317+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143655207109.parquet -> /tmp/minio_downloads/customers_143655207109.parquet
[2026-02-10T20:32:35.340+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143655354015.parquet -> /tmp/minio_downloads/customers_143655354015.parquet
[2026-02-10T20:32:35.366+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143655466879.parquet -> /tmp/minio_downloads/customers_143655466879.parquet
[2026-02-10T20:32:35.391+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143658636030.parquet -> /tmp/minio_downloads/customers_143658636030.parquet
[2026-02-10T20:32:35.421+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143658729775.parquet -> /tmp/minio_downloads/customers_143658729775.parquet
[2026-02-10T20:32:35.446+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143658823120.parquet -> /tmp/minio_downloads/customers_143658823120.parquet
[2026-02-10T20:32:35.471+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143658914630.parquet -> /tmp/minio_downloads/customers_143658914630.parquet
[2026-02-10T20:32:35.498+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143659003914.parquet -> /tmp/minio_downloads/customers_143659003914.parquet
[2026-02-10T20:32:35.524+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143659105037.parquet -> /tmp/minio_downloads/customers_143659105037.parquet
[2026-02-10T20:32:35.552+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143659196772.parquet -> /tmp/minio_downloads/customers_143659196772.parquet
[2026-02-10T20:32:35.581+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143702333301.parquet -> /tmp/minio_downloads/customers_143702333301.parquet
[2026-02-10T20:32:35.618+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143702441526.parquet -> /tmp/minio_downloads/customers_143702441526.parquet
[2026-02-10T20:32:35.653+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143702544444.parquet -> /tmp/minio_downloads/customers_143702544444.parquet
[2026-02-10T20:32:35.690+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143702655784.parquet -> /tmp/minio_downloads/customers_143702655784.parquet
[2026-02-10T20:32:35.722+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143702759220.parquet -> /tmp/minio_downloads/customers_143702759220.parquet
[2026-02-10T20:32:38.461+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143558454962.parquet -> /tmp/minio_downloads/accounts_143558454962.parquet
[2026-02-10T20:32:38.526+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143558727348.parquet -> /tmp/minio_downloads/accounts_143558727348.parquet
[2026-02-10T20:32:38.559+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143558873058.parquet -> /tmp/minio_downloads/accounts_143558873058.parquet
[2026-02-10T20:32:38.589+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143559006571.parquet -> /tmp/minio_downloads/accounts_143559006571.parquet
[2026-02-10T20:32:38.620+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143559121971.parquet -> /tmp/minio_downloads/accounts_143559121971.parquet
[2026-02-10T20:32:38.646+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143559240993.parquet -> /tmp/minio_downloads/accounts_143559240993.parquet
[2026-02-10T20:32:38.669+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143601684124.parquet -> /tmp/minio_downloads/accounts_143601684124.parquet
[2026-02-10T20:32:38.703+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143601815698.parquet -> /tmp/minio_downloads/accounts_143601815698.parquet
[2026-02-10T20:32:38.725+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143601934084.parquet -> /tmp/minio_downloads/accounts_143601934084.parquet
[2026-02-10T20:32:38.749+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143602060155.parquet -> /tmp/minio_downloads/accounts_143602060155.parquet
[2026-02-10T20:32:38.764+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143602175890.parquet -> /tmp/minio_downloads/accounts_143602175890.parquet
[2026-02-10T20:32:38.780+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143602287390.parquet -> /tmp/minio_downloads/accounts_143602287390.parquet
[2026-02-10T20:32:38.808+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143602404082.parquet -> /tmp/minio_downloads/accounts_143602404082.parquet
[2026-02-10T20:32:38.827+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143602985619.parquet -> /tmp/minio_downloads/accounts_143602985619.parquet
[2026-02-10T20:32:38.861+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603137521.parquet -> /tmp/minio_downloads/accounts_143603137521.parquet
[2026-02-10T20:32:38.897+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603293793.parquet -> /tmp/minio_downloads/accounts_143603293793.parquet
[2026-02-10T20:32:38.924+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603421662.parquet -> /tmp/minio_downloads/accounts_143603421662.parquet
[2026-02-10T20:32:38.953+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603546680.parquet -> /tmp/minio_downloads/accounts_143603546680.parquet
[2026-02-10T20:32:38.982+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603682204.parquet -> /tmp/minio_downloads/accounts_143603682204.parquet
[2026-02-10T20:32:39.014+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143603789050.parquet -> /tmp/minio_downloads/accounts_143603789050.parquet
[2026-02-10T20:32:39.050+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606104091.parquet -> /tmp/minio_downloads/accounts_143606104091.parquet
[2026-02-10T20:32:39.081+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606222733.parquet -> /tmp/minio_downloads/accounts_143606222733.parquet
[2026-02-10T20:32:39.115+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606328425.parquet -> /tmp/minio_downloads/accounts_143606328425.parquet
[2026-02-10T20:32:39.145+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606441779.parquet -> /tmp/minio_downloads/accounts_143606441779.parquet
[2026-02-10T20:32:39.177+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606588427.parquet -> /tmp/minio_downloads/accounts_143606588427.parquet
[2026-02-10T20:32:39.200+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143606711414.parquet -> /tmp/minio_downloads/accounts_143606711414.parquet
[2026-02-10T20:32:39.218+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607284547.parquet -> /tmp/minio_downloads/accounts_143607284547.parquet
[2026-02-10T20:32:39.235+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607393268.parquet -> /tmp/minio_downloads/accounts_143607393268.parquet
[2026-02-10T20:32:39.251+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607517805.parquet -> /tmp/minio_downloads/accounts_143607517805.parquet
[2026-02-10T20:32:39.266+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607636983.parquet -> /tmp/minio_downloads/accounts_143607636983.parquet
[2026-02-10T20:32:39.284+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607727007.parquet -> /tmp/minio_downloads/accounts_143607727007.parquet
[2026-02-10T20:32:39.314+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607838206.parquet -> /tmp/minio_downloads/accounts_143607838206.parquet
[2026-02-10T20:32:39.338+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607986140.parquet -> /tmp/minio_downloads/accounts_143607986140.parquet
[2026-02-10T20:32:39.363+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610661629.parquet -> /tmp/minio_downloads/accounts_143610661629.parquet
[2026-02-10T20:32:39.379+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610771360.parquet -> /tmp/minio_downloads/accounts_143610771360.parquet
[2026-02-10T20:32:39.395+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610869890.parquet -> /tmp/minio_downloads/accounts_143610869890.parquet
[2026-02-10T20:32:39.447+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610975411.parquet -> /tmp/minio_downloads/accounts_143610975411.parquet
[2026-02-10T20:32:39.511+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611090730.parquet -> /tmp/minio_downloads/accounts_143611090730.parquet
[2026-02-10T20:32:39.542+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611223368.parquet -> /tmp/minio_downloads/accounts_143611223368.parquet
[2026-02-10T20:32:39.571+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611340618.parquet -> /tmp/minio_downloads/accounts_143611340618.parquet
[2026-02-10T20:32:39.591+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611903760.parquet -> /tmp/minio_downloads/accounts_143611903760.parquet
[2026-02-10T20:32:39.630+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612051143.parquet -> /tmp/minio_downloads/accounts_143612051143.parquet
[2026-02-10T20:32:39.679+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612163875.parquet -> /tmp/minio_downloads/accounts_143612163875.parquet
[2026-02-10T20:32:39.732+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612287845.parquet -> /tmp/minio_downloads/accounts_143612287845.parquet
[2026-02-10T20:32:39.762+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612384686.parquet -> /tmp/minio_downloads/accounts_143612384686.parquet
[2026-02-10T20:32:39.786+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612500792.parquet -> /tmp/minio_downloads/accounts_143612500792.parquet
[2026-02-10T20:32:39.808+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143614948730.parquet -> /tmp/minio_downloads/accounts_143614948730.parquet
[2026-02-10T20:32:39.829+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143615085138.parquet -> /tmp/minio_downloads/accounts_143615085138.parquet
[2026-02-10T20:32:39.847+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143615235090.parquet -> /tmp/minio_downloads/accounts_143615235090.parquet
[2026-02-10T20:32:39.865+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143615371350.parquet -> /tmp/minio_downloads/accounts_143615371350.parquet
[2026-02-10T20:32:39.891+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143615482384.parquet -> /tmp/minio_downloads/accounts_143615482384.parquet
