[2026-02-10T20:49:45.870+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T20:49:45.898+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:48:00+00:00 [queued]>
[2026-02-10T20:49:45.907+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:48:00+00:00 [queued]>
[2026-02-10T20:49:45.908+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T20:49:45.921+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-10 20:48:00+00:00
[2026-02-10T20:49:45.930+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-02-10T20:48:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpzkqldum3']
[2026-02-10T20:49:45.934+0000] {standard_task_runner.py:91} INFO - Job 37: Subtask download_minio
[2026-02-10T20:49:45.935+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=38268) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T20:49:45.936+0000] {standard_task_runner.py:64} INFO - Started process 38288 to run task
[2026-02-10T20:49:46.019+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-10T20:48:00+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T20:49:46.110+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T20:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-10T20:48:00+00:00'
[2026-02-10T20:49:46.113+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T20:49:46.875+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600462546.parquet -> /tmp/minio_downloads/customers_143600462546.parquet
[2026-02-10T20:49:46.896+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600602074.parquet -> /tmp/minio_downloads/customers_143600602074.parquet
[2026-02-10T20:49:46.916+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600771751.parquet -> /tmp/minio_downloads/customers_143600771751.parquet
[2026-02-10T20:49:46.949+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600908509.parquet -> /tmp/minio_downloads/customers_143600908509.parquet
[2026-02-10T20:49:46.978+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601055323.parquet -> /tmp/minio_downloads/customers_143601055323.parquet
[2026-02-10T20:49:47.046+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601187796.parquet -> /tmp/minio_downloads/customers_143601187796.parquet
[2026-02-10T20:49:47.113+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143601346724.parquet -> /tmp/minio_downloads/customers_143601346724.parquet
[2026-02-10T20:49:47.156+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143604973951.parquet -> /tmp/minio_downloads/customers_143604973951.parquet
[2026-02-10T20:49:47.189+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605095369.parquet -> /tmp/minio_downloads/customers_143605095369.parquet
[2026-02-10T20:49:47.219+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605228367.parquet -> /tmp/minio_downloads/customers_143605228367.parquet
[2026-02-10T20:49:47.269+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605340396.parquet -> /tmp/minio_downloads/customers_143605340396.parquet
[2026-02-10T20:49:47.307+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605446187.parquet -> /tmp/minio_downloads/customers_143605446187.parquet
[2026-02-10T20:49:47.344+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605560574.parquet -> /tmp/minio_downloads/customers_143605560574.parquet
[2026-02-10T20:49:47.365+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143605712366.parquet -> /tmp/minio_downloads/customers_143605712366.parquet
[2026-02-10T20:49:47.389+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609435009.parquet -> /tmp/minio_downloads/customers_143609435009.parquet
[2026-02-10T20:49:47.413+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609572388.parquet -> /tmp/minio_downloads/customers_143609572388.parquet
[2026-02-10T20:49:47.439+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609725024.parquet -> /tmp/minio_downloads/customers_143609725024.parquet
[2026-02-10T20:49:47.468+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143609859316.parquet -> /tmp/minio_downloads/customers_143609859316.parquet
[2026-02-10T20:49:47.492+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610019745.parquet -> /tmp/minio_downloads/customers_143610019745.parquet
[2026-02-10T20:49:47.517+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610165772.parquet -> /tmp/minio_downloads/customers_143610165772.parquet
[2026-02-10T20:49:47.543+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143610301645.parquet -> /tmp/minio_downloads/customers_143610301645.parquet
[2026-02-10T20:49:47.570+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143613870880.parquet -> /tmp/minio_downloads/customers_143613870880.parquet
[2026-02-10T20:49:47.600+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143613978301.parquet -> /tmp/minio_downloads/customers_143613978301.parquet
[2026-02-10T20:49:47.629+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614106187.parquet -> /tmp/minio_downloads/customers_143614106187.parquet
[2026-02-10T20:49:47.671+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614241552.parquet -> /tmp/minio_downloads/customers_143614241552.parquet
[2026-02-10T20:49:47.693+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614342313.parquet -> /tmp/minio_downloads/customers_143614342313.parquet
[2026-02-10T20:49:47.710+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614471506.parquet -> /tmp/minio_downloads/customers_143614471506.parquet
[2026-02-10T20:49:47.727+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143614580415.parquet -> /tmp/minio_downloads/customers_143614580415.parquet
[2026-02-10T20:49:47.743+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619249487.parquet -> /tmp/minio_downloads/customers_143619249487.parquet
[2026-02-10T20:49:47.768+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619426867.parquet -> /tmp/minio_downloads/customers_143619426867.parquet
[2026-02-10T20:49:47.787+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619575933.parquet -> /tmp/minio_downloads/customers_143619575933.parquet
[2026-02-10T20:49:47.805+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619769194.parquet -> /tmp/minio_downloads/customers_143619769194.parquet
[2026-02-10T20:49:47.860+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143619924079.parquet -> /tmp/minio_downloads/customers_143619924079.parquet
[2026-02-10T20:49:47.933+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143620118543.parquet -> /tmp/minio_downloads/customers_143620118543.parquet
[2026-02-10T20:49:47.958+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143620264809.parquet -> /tmp/minio_downloads/customers_143620264809.parquet
[2026-02-10T20:49:47.984+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625430641.parquet -> /tmp/minio_downloads/customers_143625430641.parquet
[2026-02-10T20:49:48.012+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625596207.parquet -> /tmp/minio_downloads/customers_143625596207.parquet
[2026-02-10T20:49:48.036+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625745784.parquet -> /tmp/minio_downloads/customers_143625745784.parquet
[2026-02-10T20:49:48.072+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625880427.parquet -> /tmp/minio_downloads/customers_143625880427.parquet
[2026-02-10T20:49:48.112+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626036712.parquet -> /tmp/minio_downloads/customers_143626036712.parquet
[2026-02-10T20:49:48.132+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626253322.parquet -> /tmp/minio_downloads/customers_143626253322.parquet
[2026-02-10T20:49:48.155+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626379633.parquet -> /tmp/minio_downloads/customers_143626379633.parquet
[2026-02-10T20:49:48.205+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631165169.parquet -> /tmp/minio_downloads/customers_143631165169.parquet
